"时间","级别","来源","类型","方法","消息","应用名称","执行类型","执行方法","执行目录"
"2017-04-27 10:38:16:591","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/ticket/getticket?access_token=FVomKHo_2pkSOJNNs1TwBDAun05iHuqHVr7X3bqJ0CEf5SSgImGbSSMxLG6MS8NvQD9gzpUn-z_AX4g3xHuskeEU4SEettlUt8fixrdmN478CaNF27jo2n9y_Xp-U1XJNFOhABAWOX&type=jsapi】, result:【{""errcode"":0,""errmsg"":""ok"",""ticket"":""kgt8ON7yVITDhtdwci0qebqDC6FX2oUTB5_CoPw5D6Lg_8KAAJQyF43HyNxuNG1j-qkjKxExX8OV6Bm7BUQW7A"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:38:21:072","信息","OtNaf.ComLib.dll","公共组件","退出","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","OtComExit","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:38:41:126","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:38:41:155","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:39:02:423","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""7wZVmZzjXTvrhbCpbr-FS09ADCYBLZ5MNN9XcRMMTRu5br0FkExhi_uhtCE9DSP4J3wSnCFqECXxl2ZpLlbZkaUXyKrMbBwAZJZgyad_8VKrCBibjwVpJ_FMo140dSWsAKWiAFAEOA"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:39:02:495","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/ticket/getticket?access_token=7wZVmZzjXTvrhbCpbr-FS09ADCYBLZ5MNN9XcRMMTRu5br0FkExhi_uhtCE9DSP4J3wSnCFqECXxl2ZpLlbZkaUXyKrMbBwAZJZgyad_8VKrCBibjwVpJ_FMo140dSWsAKWiAFAEOA&type=jsapi】, result:【{""errcode"":0,""errmsg"":""ok"",""ticket"":""kgt8ON7yVITDhtdwci0qebqDC6FX2oUTB5_CoPw5D6Lg_8KAAJQyF43HyNxuNG1j-qkjKxExX8OV6Bm7BUQW7A"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:39:51:887","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""RFHfdWS9yhc-m08NTsG5BmpJmkdSmeaUBZM5oUthW_AcNqnQql0s-cT0ZLFu3R4WmAD_Tats7pMUNewx-4nWgz8tAZWJSeL1_7HD2pEtfMfMoN5pir8E5ZD0MfB-z4b-NHXcAJASMC"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:40:06:936","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:40:06:963","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:40:29:764","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""mZiyj-Z_t57DgIO5HAREQCnTWCJuekJiVNGFmVeuigokZ-gRXgKddh6sJwRvaO_6AFTNXmPrjQwjtQoffFo1sGjNrkeOpg3VsW6ycQRdznvred8SFtnBR_oXGiCv5DXFILKaADAXAZ"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:56:01:459","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:56:03:901","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:56:04:431","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""CZwc1Ywm7N8WElUB2XfyswiyqtD-YOIGHYXdWk0DBUwHuTZMlpd_qIaCdcJ71jsIQpOwdLuXF8WNrXLlgK4pC2pD6AnPio2V0JLn-O4cYLW9ztky5JqArRmFNfrzSgHhEBIaABAROV"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:56:04:541","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/ticket/getticket?access_token=CZwc1Ywm7N8WElUB2XfyswiyqtD-YOIGHYXdWk0DBUwHuTZMlpd_qIaCdcJ71jsIQpOwdLuXF8WNrXLlgK4pC2pD6AnPio2V0JLn-O4cYLW9ztky5JqArRmFNfrzSgHhEBIaABAROV&type=jsapi】, result:【{""errcode"":0,""errmsg"":""ok"",""ticket"":""kgt8ON7yVITDhtdwci0qebqDC6FX2oUTB5_CoPw5D6Lg_8KAAJQyF43HyNxuNG1j-qkjKxExX8OV6Bm7BUQW7A"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 10:56:57:582","信息","OtNaf.ComLib.dll","公共组件","退出","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","OtComExit","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 11:06:45:065","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 11:06:45:092","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 11:06:57:092","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""pkrP8NjsXLMJ6ugsNtuMl17CbirX3jr-0-AmZnq5OkDYe9ZsVtjT_7p_sxGgJIuq1IEaf91MRcuOd_EUtPUmXskB0idoqIXGawjYs_TvsUtlFw9pIfY_TPJeDLL8zBDmAXCfADAWTY"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 11:06:57:243","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/ticket/getticket?access_token=pkrP8NjsXLMJ6ugsNtuMl17CbirX3jr-0-AmZnq5OkDYe9ZsVtjT_7p_sxGgJIuq1IEaf91MRcuOd_EUtPUmXskB0idoqIXGawjYs_TvsUtlFw9pIfY_TPJeDLL8zBDmAXCfADAWTY&type=jsapi】, result:【{""errcode"":0,""errmsg"":""ok"",""ticket"":""kgt8ON7yVITDhtdwci0qebqDC6FX2oUTB5_CoPw5D6Lg_8KAAJQyF43HyNxuNG1j-qkjKxExX8OV6Bm7BUQW7A"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 11:08:35:888","信息","OtNaf.ComLib.dll","公共组件","退出","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","OtComExit","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 11:08:57:203","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 11:08:57:231","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 11:09:00:854","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""_9oON1FOvs3DdtuNq4-ZpJ4MpKwfErqqeQPElRpon6YUZhWYc52QuFqTr5YR_yJDJ_lJviot4J837aVkIey0luiWbcNoH-sm3z-ohgKp8M4FUtK_HoJ4Y4Q5jOvn2i5wPXCjAFAJRW"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 11:09:00:978","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/ticket/getticket?access_token=_9oON1FOvs3DdtuNq4-ZpJ4MpKwfErqqeQPElRpon6YUZhWYc52QuFqTr5YR_yJDJ_lJviot4J837aVkIey0luiWbcNoH-sm3z-ohgKp8M4FUtK_HoJ4Y4Q5jOvn2i5wPXCjAFAJRW&type=jsapi】, result:【{""errcode"":0,""errmsg"":""ok"",""ticket"":""kgt8ON7yVITDhtdwci0qebqDC6FX2oUTB5_CoPw5D6Lg_8KAAJQyF43HyNxuNG1j-qkjKxExX8OV6Bm7BUQW7A"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 11:09:04:688","信息","OtNaf.ComLib.dll","公共组件","退出","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","OtComExit","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 11:15:20:753","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 11:15:20:780","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 11:15:55:046","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""NEWszj17vaRhB10esGxPPjzX0L1-HM6sVqRLSDCWtXzL6NIWg4xR01v38u7qO4UO5BhfNCMJt_CCGAMDnrZT7U86EFVlgpWZyklYXXmOvGtb1nvZ0hlQQgYxKJAxw5-HCEQdAJAXZL"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 11:16:12:734","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 11:16:12:781","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 11:16:34:377","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""UTs_Y7ZNt5mZXPtZdBifJn1_Yo3qQDm1wrl3cWpVeYPJJlqxKW6QAkP5TWvG3li-PHPsjW3KmeSvWP-MjU_gWgGN_ZyOl-597ij1iE5D9MENSqjfgLy7MKiGVYXRJ97HJSFcAGAFOB"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 11:16:34:770","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/ticket/getticket?access_token=UTs_Y7ZNt5mZXPtZdBifJn1_Yo3qQDm1wrl3cWpVeYPJJlqxKW6QAkP5TWvG3li-PHPsjW3KmeSvWP-MjU_gWgGN_ZyOl-597ij1iE5D9MENSqjfgLy7MKiGVYXRJ97HJSFcAGAFOB&type=jsapi】, result:【{""errcode"":0,""errmsg"":""ok"",""ticket"":""kgt8ON7yVITDhtdwci0qebqDC6FX2oUTB5_CoPw5D6Lg_8KAAJQyF43HyNxuNG1j-qkjKxExX8OV6Bm7BUQW7A"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 11:16:44:708","信息","OtNaf.ComLib.dll","公共组件","退出","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","OtComExit","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 11:15:55:140","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/ticket/getticket?access_token=NEWszj17vaRhB10esGxPPjzX0L1-HM6sVqRLSDCWtXzL6NIWg4xR01v38u7qO4UO5BhfNCMJt_CCGAMDnrZT7U86EFVlgpWZyklYXXmOvGtb1nvZ0hlQQgYxKJAxw5-HCEQdAJAXZL&type=jsapi】, result:【{""errcode"":0,""errmsg"":""ok"",""ticket"":""kgt8ON7yVITDhtdwci0qebqDC6FX2oUTB5_CoPw5D6Lg_8KAAJQyF43HyNxuNG1j-qkjKxExX8OV6Bm7BUQW7A"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 11:16:50:022","信息","OtNaf.ComLib.dll","公共组件","退出","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","OtComExit","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 11:18:03:643","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 11:18:03:671","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 11:18:24:989","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""YJQEkwjNeRSDXQ4mtHfgrUx5ddD7LC5eW7KFHkcEXjjxeVD_0LlS-3y5cctCre8JLeplHSggsuexDIbC-FGj0CKL0oHkBrKIh0JGDhm_VnVf7xDqJm9fT7XTiPTEbXQoXZYdABACED"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 11:21:03:899","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 11:21:03:941","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 11:21:25:220","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""riTcPs-vs7lcclLxvGaSWUwA7ed6lnY3k3Kdo1QeoNMKepvGdbC30TkTdspnEw8dcn371dzi7c-jbMj8mGd8MNj46AJLd5dJq14-hDhBBXZtDFFI7XrBdBIzLhjuZkiDLLPfAJAYYC"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 12:54:25:273","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 12:54:25:341","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 12:58:32:154","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""yz5nFIFHj4arBgC8hQtlwVjR7bIulJCwrhDzMpnPhm8eSGx6rzkigaNs54CHuTMN589X7owvbyl4Hr7Xplk9L3G4Vgt9FQkWp-tt4a4hYEy6nshbwkLr4NAbBmQLdRByEVHbAAAYPB"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 12:58:32:310","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/ticket/getticket?access_token=yz5nFIFHj4arBgC8hQtlwVjR7bIulJCwrhDzMpnPhm8eSGx6rzkigaNs54CHuTMN589X7owvbyl4Hr7Xplk9L3G4Vgt9FQkWp-tt4a4hYEy6nshbwkLr4NAbBmQLdRByEVHbAAAYPB&type=jsapi】, result:【{""errcode"":0,""errmsg"":""ok"",""ticket"":""kgt8ON7yVITDhtdwci0qebqDC6FX2oUTB5_CoPw5D6L6DHCb2metsOklRbbXmI1F3u5Pz8uAkBd1bEVah_a79A"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 12:59:12:971","信息","OtNaf.ComLib.dll","公共组件","退出","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","OtComExit","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 13:11:00:024","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 13:11:00:056","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 13:11:04:459","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""TrXzKcmzdYr_-qEUhs_UrNS4lCqQEPmNbnowcYCf2gAtUWc7CeQP1uVkZtJWffA6WVJHTmn176k0LCp5PVo8a5Qn3HM_ohHY5H0pK2RECQwVTIaAAAIGV"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 13:11:10:862","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/ticket/getticket?access_token=TrXzKcmzdYr_-qEUhs_UrNS4lCqQEPmNbnowcYCf2gAtUWc7CeQP1uVkZtJWffA6WVJHTmn176k0LCp5PVo8a5Qn3HM_ohHY5H0pK2RECQwVTIaAAAIGV&type=jsapi】, result:【{""errcode"":0,""errmsg"":""ok"",""ticket"":""kgt8ON7yVITDhtdwci0qebqDC6FX2oUTB5_CoPw5D6L6DHCb2metsOklRbbXmI1F3u5Pz8uAkBd1bEVah_a79A"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 13:17:43:582","信息","OtNaf.ComLib.dll","公共组件","构造方法","开始","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 13:17:43:614","信息","OtNaf.ComLib.dll","公共组件","构造方法","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","cctor","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 13:26:13:334","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/token?grant_type=client_credential&appid=wx3e5b3f2696a00674&secret=5c36cff59a8d8dfa6f8e4394dabb490d】, result:【{""access_token"":""cYYQWgE9mae06td4iFCrITH9OyradXO5uL39s7CAgXvuGJbQPui1t-oSHkdvSA_rApmuFhSxOY7kmSAN4-6LbkqEOx6BJAfMyNN7gJkepB0f9d1Pg5Wdc-YU4RApoOyFYHTbAJANWI"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 13:26:13:443","信息","WxBase.dll","WxBase.Utility.HttpUtility","SendGetHttpRequest","Method=GET// url:【https://api.weixin.qq.com/cgi-bin/ticket/getticket?access_token=cYYQWgE9mae06td4iFCrITH9OyradXO5uL39s7CAgXvuGJbQPui1t-oSHkdvSA_rApmuFhSxOY7kmSAN4-6LbkqEOx6BJAfMyNN7gJkepB0f9d1Pg5Wdc-YU4RApoOyFYHTbAJANWI&type=jsapi】, result:【{""errcode"":0,""errmsg"":""ok"",""ticket"":""kgt8ON7yVITDhtdwci0qebqDC6FX2oUTB5_CoPw5D6L6DHCb2metsOklRbbXmI1F3u5Pz8uAkBd1bEVah_a79A"",""expires_in"":7200}】","OtNaf_26D56036","WxBase.Utility.HttpUtility","SendGetHttpRequest","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
"2017-04-27 13:26:20:906","信息","OtNaf.ComLib.dll","公共组件","退出","成功","OtNaf_26D56036","OtNaf.ComLib.OtCom","OtComExit","D:\WxDemo12\WxDemo1\WxDemo\WxWeb\Bin\"
